Date,Open,High,Low,Close,Adj Close,Volume
01/01/2000,1469.25,1478,1350.140015,1394.459961,1394.459961,21494400000
01/02/2000,1394.459961,1444.550049,1325.069946,1366.420044,1366.420044,20912000000
01/03/2000,1366.420044,1552.869995,1346.619995,1498.579956,1498.579956,26156200000
01/04/2000,1498.579956,1527.189941,1339.400024,1452.430054,1452.430054,20106460000
01/05/2000,1452.430054,1481.51001,1361.089966,1420.599976,1420.599976,19898300000
01/06/2000,1420.599976,1488.930054,1420.599976,1454.599976,1454.599976,21738300000
01/07/2000,1454.599976,1517.319946,1413.890015,1430.829956,1430.829956,19089100000
01/08/2000,1430.829956,1525.209961,1425.430054,1517.680054,1517.680054,20363700000
01/09/2000,1517.680054,1530.089966,1419.439941,1436.51001,1436.51001,20838300000
01/10/2000,1436.52002,1454.819946,1305.790039,1429.400024,1429.400024,25951400000
01/11/2000,1429.400024,1438.459961,1294.900024,1314.949951,1314.949951,20532300000
01/12/2000,1314.949951,1389.050049,1254.069946,1320.280029,1320.280029,23610800000
01/01/2001,1320.280029,1383.369995,1274.619995,1366.01001,1366.01001,27829800000
01/02/2001,1366.01001,1376.380005,1215.439941,1239.939941,1239.939941,21644400000
01/03/2001,1239.939941,1267.420044,1081.189941,1160.329956,1160.329956,27806610000
01/04/2001,1160.329956,1269.300049,1091.98999,1249.459961,1249.459961,25409990000
01/05/2001,1249.459961,1315.930054,1232,1255.819946,1255.819946,24525900000
01/06/2001,1255.819946,1286.619995,1203.030029,1224.380005,1224.380005,24748030000
01/07/2001,1224.420044,1239.780029,1165.540039,1211.22998,1211.22998,23793710000
01/08/2001,1211.22998,1226.27002,1124.869995,1133.579956,1133.579956,23359200000
01/09/2001,1133.579956,1155.400024,944.75,1040.939941,1040.939941,25025290000
01/10/2001,1040.939941,1110.609985,1026.76001,1059.780029,1059.780029,29951280000
01/11/2001,1059.780029,1163.380005,1054.310059,1139.449951,1139.449951,26330000000
01/12/2001,1139.449951,1173.619995,1114.530029,1148.079956,1148.079956,25128570000
01/01/2002,1148.079956,1176.969971,1081.660034,1130.199951,1130.199951,29746200000
01/02/2002,1130.199951,1130.199951,1074.359985,1106.72998,1106.72998,26047600000
01/03/2002,1106.72998,1173.939941,1106.72998,1147.390015,1147.390015,26563200000
01/04/2002,1147.390015,1147.839966,1063.459961,1076.920044,1076.920044,28568900000
01/05/2002,1076.920044,1106.589966,1048.959961,1067.140015,1067.140015,26905500000
01/06/2002,1067.140015,1070.73999,952.9199829,989.8200073,989.8200073,29981510000
01/07/2002,989.8200073,994.460022,775.6799927,911.6199951,911.6199951,42228720000
01/08/2002,911.6199951,965,833.4400024,916.0700073,916.0700073,29298400000
01/09/2002,916.0700073,924.0200195,800.2000122,815.2800293,815.2800293,27723710000
01/10/2002,815.2800293,907.4400024,768.6300049,885.7600098,885.7600098,37856310000
01/11/2002,885.7600098,941.8200073,872.0499878,936.3099976,936.3099976,29200960000
01/12/2002,936.3099976,954.2800293,869.4500122,879.8200073,879.8200073,25993640000
01/01/2003,879.8200073,935.0499878,840.3400269,855.7000122,855.7000122,30749580000
01/02/2003,855.7000122,864.6400146,806.289978,841.1500244,841.1500244,25235300000
01/03/2003,841.1500244,895.9000244,788.9000244,848.1799927,848.1799927,30080030000
01/04/2003,848.1799927,924.2399902,847.8499756,916.9199829,916.9199829,29669610000
01/05/2003,916.9199829,965.3800049,902.8300171,963.5900269,963.5900269,30952100000
01/06/2003,963.5900269,1015.330017,963.5900269,974.5,974.5,31219400000
01/07/2003,974.5,1015.409973,962.0999756,990.3099976,990.3099976,31553200000
01/08/2003,990.3099976,1011.01001,960.8400269,1008.01001,1008.01001,24881470000
01/09/2003,1008.01001,1040.290039,990.3599854,995.9699707,995.9699707,29940110000
